,text file,IoU,Confidence,predict label,truth label,predict bbox,truth bbox
0,IMG_20210408_120557_415.txt,0.883125664058727,0.634577751159668,Mask,non-Mask,"['1407', '1228', '1929', '1942']","['1416', '1249', '1908', '1918']"
1,IMG_20210408_120557_415_cloth.txt,0.7180907923465252,0.8365151882171631,non-Mask,Mask,"['1386', '1196', '1955', '1929']","['1384', '1382', '1939', '1925']"
2,IMG_20210408_120557_415_empty.txt,0.748521945795855,0.8070571422576904,Mask,Mask,"['1420', '1227', '1918', '1883']","['1403', '1369', '1927', '1880']"
3,IMG_20210408_120557_415_gas.txt,0.7623332689186956,0.8045095205307007,non-Mask,Mask,"['1390', '1219', '1953', '1979']","['1391', '1376', '1934', '1982']"
4,IMG_20210408_120557_415_inpaint.txt,0.0,,,Mask,"[None, None, None, None]","['1372', '1363', '1927', '1981']"
5,IMG_20210408_120557_415_KN95.txt,0.0,,,Mask,"[None, None, None, None]","['1403', '1350', '1952', '1930']"
6,IMG_20210408_120557_415_N95.txt,0.8205641328383746,0.8308840990066528,non-Mask,Mask,"['1392', '1248', '1948', '1967']","['1397', '1344', '1933', '1956']"
7,IMG_20210408_120557_415_surgical.txt,0.726507713884993,0.6329776048660278,non-Mask,Mask,"['1375', '1237', '1924', '1900']","['1365', '1382', '1933', '1931']"
8,IMG_20210408_120557_415_surgical_blue.txt,0.7511479722438821,0.6980429887771606,non-Mask,Mask,"['1367', '1258', '1924', '1939']","['1378', '1369', '1927', '1893']"
9,IMG_20210408_120557_415_surgical_green.txt,0.0,,,Mask,"[None, None, None, None]","['1378', '1395', '1908', '1900']"
10,IMG_20210408_120607_387.txt,0.721422991797943,0.9974637031555176,non-Mask,non-Mask,"['1403', '2024', '1751', '2491']","['1378', '2101', '1744', '2524']"
11,IMG_20210408_120607_387.txt,-0.03937036218059148,0.9974637031555176,non-Mask,non-Mask,"['1403', '2024', '1751', '2491']","['1164', '1855', '1271', '2082']"
12,IMG_20210408_120607_387_cloth.txt,0.472930975801637,0.9472103118896484,non-Mask,Mask,"['1414', '2039', '1720', '2410']","['1378', '2133', '1757', '2530']"
13,IMG_20210408_120607_387_cloth.txt,-0.03599522903473149,0.9472103118896484,non-Mask,non-Mask,"['1414', '2039', '1720', '2410']","['1138', '1861', '1245', '2069']"
14,IMG_20210408_120607_387_empty.txt,0.6976805104249175,0.9677650928497314,Mask,Mask,"['1415', '2056', '1736', '2474']","['1378', '2120', '1731', '2511']"
15,IMG_20210408_120607_387_empty.txt,-0.006147475304328874,0.9677650928497314,Mask,non-Mask,"['1415', '2056', '1736', '2474']","['1164', '1880', '1278', '2063']"
16,IMG_20210408_120607_387_gas.txt,0.6615412122295726,0.9315857887268066,non-Mask,Mask,"['1388', '2017', '1748', '2503']","['1384', '2133', '1756', '2562']"
17,IMG_20210408_120607_387_gas.txt,-0.03282042203305647,0.9315857887268066,non-Mask,non-Mask,"['1388', '2017', '1748', '2503']","['1145', '1849', '1246', '2064']"
18,IMG_20210408_120607_387_inpaint.txt,0.6610741845007465,0.9003580808639526,non-Mask,Mask,"['1363', '2010', '1738', '2554']","['1359', '2133', '1763', '2512']"
19,IMG_20210408_120607_387_inpaint.txt,-0.02566869652354891,0.9003580808639526,non-Mask,non-Mask,"['1363', '2010', '1738', '2554']","['1132', '1868', '1252', '2064']"
20,IMG_20210408_120607_387_KN95.txt,0.538953488372093,0.9360998868942261,non-Mask,Mask,"['1409', '2039', '1718', '2422']","['1384', '2107', '1756', '2536']"
21,IMG_20210408_120607_387_KN95.txt,-0.03250430763887961,0.9360998868942261,non-Mask,non-Mask,"['1409', '2039', '1718', '2422']","['1132', '1849', '1252', '2070']"
22,IMG_20210408_120607_387_N95.txt,0.6032583513014252,0.6781058311462402,non-Mask,Mask,"['1405', '2048', '1714', '2442']","['1397', '2126', '1744', '2523']"
23,IMG_20210408_120607_387_N95.txt,-0.027048192022274983,0.6781058311462402,non-Mask,non-Mask,"['1405', '2048', '1714', '2442']","['1132', '1842', '1277', '2082']"
24,IMG_20210408_120607_387_surgical.txt,0.45770933234968647,0.9458677768707275,non-Mask,Mask,"['1416', '2056', '1715', '2401']","['1359', '2152', '1725', '2518']"
25,IMG_20210408_120607_387_surgical.txt,-0.020241293695346687,0.9458677768707275,non-Mask,non-Mask,"['1416', '2056', '1715', '2401']","['1126', '1868', '1277', '2076']"
26,IMG_20210408_120607_387_surgical_blue.txt,0.41292039650806756,0.908230185508728,non-Mask,Mask,"['1420', '2040', '1704', '2369']","['1384', '2133', '1737', '2518']"
27,IMG_20210408_120607_387_surgical_blue.txt,-0.04537727509689703,0.908230185508728,non-Mask,non-Mask,"['1420', '2040', '1704', '2369']","['1132', '1855', '1277', '2082']"
28,IMG_20210408_120607_387_surgical_green.txt,0.46734964444980115,0.942223310470581,non-Mask,Mask,"['1413', '2046', '1709', '2395']","['1391', '2133', '1738', '2537']"
29,IMG_20210408_120607_387_surgical_green.txt,-0.04130518461492909,0.942223310470581,non-Mask,non-Mask,"['1413', '2046', '1709', '2395']","['1132', '1874', '1258', '2082']"
30,IMG_20210408_120614_740.txt,0.657942059014563,0.8371545076370239,non-Mask,non-Mask,"['1338', '1443', '1939', '2296']","['1277', '1678', '1933', '2309']"
31,IMG_20210408_120614_740_cloth.txt,0.0,,,Mask,"[None, None, None, None]","['1283', '1666', '1908', '2335']"
32,IMG_20210408_120614_740_surgical.txt,0.0,,,Mask,"[None, None, None, None]","['1271', '1672', '1921', '2322']"
33,IMG_20210408_120625_761.txt,0.7446971186403653,0.8118932247161865,non-Mask,non-Mask,"['1323', '1309', '1743', '1882']","['1283', '1395', '1762', '1893']"
34,IMG_20210408_120625_761_cloth.txt,0.0,,,Mask,"[None, None, None, None]","['1328', '1388', '1757', '1924']"
35,IMG_20210408_120625_761_empty.txt,0.784862229504266,0.9205034971237183,Mask,Mask,"['1328', '1346', '1728', '1873']","['1290', '1382', '1757', '1887']"
36,IMG_20210408_120625_761_gas.txt,0.6260974086425718,0.5379365682601929,non-Mask,Mask,"['1338', '1363', '1683', '1850']","['1290', '1388', '1738', '1937']"
37,IMG_20210408_120625_761_inpaint.txt,0.7332739640373648,0.9140239953994751,Mask,Mask,"['1331', '1318', '1718', '1876']","['1296', '1376', '1763', '1893']"
